ulasan,sentimen
warnanya menarik,Netral
outfitnya cukup bagus haha,Positif
looknya cukup bagus menurutku,Netral
desainnya bgs wkwk,Netral
kombinasi warnanya lumayan,Netral
waktu pertama lihat biasa aja tapi ternyata keren imo,Positif
awalnya kurang yakin tapi jadi pengen coba,Positif
awalnya kurang yakin tapi makin menarikk haha,Positif
outfitnya kurang menarikk haha,Negatif
kombinasi warnanya menarik imo,Netral
awalnya kurang yakin tapi ternyata bagus juga sih,Positif
mungkin cocok buat orang lain tapi bukan saya jujur,Negatif
awalnya kurang yakin tapi jadi pengen coba haha,Positif
masih biasa aja menurut saya menurutku,Netral
makin dilihat makin cocok wkwk,Positif
banyak yang bilang krn tapi terasa monoton,Negatif
menarik sih tapi ga buruk juga haha,Netral
entah kenapa jadi tertarik,Positif
awalnya suka tapi makin membosankan haha,Negatif
awalnya kurang yakin tapi jadi suka,Positif
awalnya kurang yakin tapi ternyata cocok imo,Positif
awalnya biasa aja tapi ternyata bagus juga,Positif
pas pertama lihat biasa aja tapi malah estetik haha,Positif
kombinasi warnanya cukup bagus menurutku,Positif
sulit bilang baguss atau tidak haha,Netral
mungkin cocok buat sebagian orang,Netral
sejujurnya lumayan tapi kurang cocok haha,Negatif
konsepnya kurang cocok,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
kombinasi warnanya terlihat oke tapi ga buruk juga menurutku,Netral
gw paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
awalnya suka tapi ga sesuai ekspektasi wkwk,Negatif
stylenya menarik tapi belum tentu aku pakai,Netral
looknya unik tapi tergantung selera jujur,Netral
warnanya unik tapi tetap terlihat menarik,Positif
pas pertama lihat cukup bagus tapi tergantung selera sih,Netral
warnanya unik tapi tetap terlihat menarikk sih,Positif
awalnya kurang yakin tapi ternyata bagus juga haha,Positif
banyak yang suka tapi saya kurang tertarik sih,Negatif
desainnya unik tapi menurut gue kurang estetik wkwk,Negatif
makin dilihat makin cocok sih,Positif
kalau menurut gw kurang cocok tapi makin dilihat makin menarikk haha,Positif
ga nyangka ternyata bagus haha,Positif
modelnya keren,Netral
awalnya kurang yakin tapi jadi suka,Positif
modelnya unik tapi menurut saya membosankan,Negatif
awalnya kurang yakin tapi malah estetik,Positif
outfitnya bagus,Positif
awalnya terlalu biasa tapi makin dilihat makin menarikk sih,Positif
kombinasi warnanya agak monoton wkwk,Negatif
mungkin cocok buat orang lain tapi bukan saya jujur,Negatif
kombinasi warnanya estetik tapi menurut saya terlalu biasa wkwk,Negatif
awalnya suka tapi kurang cocok imo,Negatif
looknya bagus tapi belum tentu aku pakai,Netral
setelah beberapa kali lihat cukup bagus tapi kurang masuk di aku haha,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya jujur,Negatif
stylenya keren tapi menurut gw membosankan wkwk,Negatif
awalnya kurang yakin tapi jadi pengen coba wkwk,Positif
ga jelek tapi juga gak spesial menurutku,Netral
setelah beberapa kali lihat bagus tapi makin membosankan,Negatif
menarik sih tapi lumayan aja haha,Netral
menarik sih tapi biasa aja menurut saya,Netral
looknya unik tapi tetap terlihat menarik menurutku,Positif
warnanya terlalu biasa,Negatif
awalnya kurang yakin tapi jadi suka sih,Positif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
warnanya oke,Netral
belum punya pendapat khusus,Netral
waktu pertama lihat biasa aja tapi malah estetik imo,Positif
setelah beberapa kali lihat bagus tapi kurang masuk di saya sih,Negatif
pas pertama lihat terlalu biasa tapi ternyata bgs juga,Positif
desainnya terlalu biasa,Negatif
warnanya lumayan tapi biasa aja menurut saya sih,Netral
stylenya oke,Positif
stylenya unik tapi tetap terlihat menarik jujur,Positif
bukan style yang biasa gue pakai tapi gw suka menurutku,Positif
stylenya unik tapi menurut saya kurang cocok,Negatif
warnanya bgs,Positif
awalnya kurang yakin tapi jadi suka,Positif
kesan pertama biasa aja tapi makin dilihat makin menarik imo,Positif
makin dilihat makin cocok sih,Positif
sejujurnya biasa aja tapi malah estetik haha,Positif
setelah beberapa kali lihat lumayan tapi ternyata kurang menarik imo,Negatif
warnanya membosankan sih,Negatif
buat saya pribadi baguss tapi ternyata kurang menarik haha,Negatif
setelah beberapa kali lihat biasa aja tapi ternyata cocok sih,Positif
kombinasi warnanya terlihat oke tapi ga ada yang spesial menurutku,Netral
desainnya terlalu biasa,Negatif
awalnya kurang yakin tapi malah estetik imo,Positif
warnanya lumayan tapi menurut saya kurang menarikk imo,Negatif
kalau menurut gue bagus tapi kurang cocok imo,Negatif
warnanya agak monoton,Negatif
awalnya biasa aja tapi malah estetik jujur,Positif
menarik sih tapi biasa aja menurut saya,Netral
konsepnya bagus tapi tetap terlihat menarik,Positif
banyak yang bilang keren tapi jadi biasa aja menurutku,Negatif
modelnya lumayan tapi menurut aku kurang menarikk jujur,Negatif
jujur biasa aja tapi jadi pengen coba sih,Positif
ga nyangka ternyata bagus,Positif
kombinasi warnanya kurang estetik imo,Negatif
masih biasa aja menurut gw sih,Netral
makin dilihat makin cocok wkwk,Positif
looknya oke,Netral
aku masih belum suka model seperti ini,Negatif
menarikk sih tapi tergantung selera,Netral
banyak yang bilang keren tapi ternyata kurang menarik,Negatif
warnanya lumayan imo,Positif
gak jelek tapi juga tidak spesial,Netral
kombinasi warnanya lumayan tapi tetap terlihat menarik,Positif
banyak yang bilang keren tapi kurang cocok,Negatif
banyak yang bilang keren tapi kurang masuk di saya sih,Negatif
kesan pertama biasa aja tapi jadi suka menurutku,Positif
desainnya krn tapi menurut saya kurang cocok,Negatif
ga nyangka ternyata bagus menurutku,Positif
setelah beberapa kali lihat biasa aja tapi ternyata kereen jujur,Positif
sejujurnya biasa aja tapi ternyata cocok,Positif
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
looknya bagus tapi tergantung selera menurutku,Netral
desainnya terlihat oke tapi ga buruk juga,Netral
awalnya kurang yakin tapi ternyata bagus juga,Positif
ga nyangka ternyata baguss jujur,Positif
saya paham kenapa banyak yang suka tapi kurang cocok buat gw,Negatif
pas pertama lihat estetik tapi ternyata kurang menarik,Negatif
menarikk sih tapi ga buruk juga imo,Netral
desainnya keren tapi menurut saya kurang menarik haha,Negatif
setelah beberapa kali lihat cukup bagus tapi masih standar haha,Netral
konsepnya terlalu biasa,Negatif
outfitnya bagus tapi tetap terlihat menarik sih,Positif
waktu pertama lihat lumayan tapi lumayan aja,Netral
ga nyangka ternyata bagus,Positif
buat saya pribadi agak monoton tapi makin menarik,Positif
buat saya pribadi oke tapi kurang cocok sih,Negatif
konsepnya terlihat oke tapi ga buruk juga haha,Netral
entah kenapa jadi tertarik wkwk,Positif
looknya lumayan wkwk,Positif
sejujurnya biasa aja tapi jadi pengen coba imo,Positif
outfitnya agak monoton wkwk,Negatif
modelnya bagus jujur,Netral
desainnya bagus tapi menurut saya kurang cocok jujur,Negatif
konsepnya terlihat oke tapi ga buruk juga jujur,Netral
awalnya biasa aja tapi makin dilihat makin menarikk sih,Positif
kombinasi warnanya bagus wkwk,Positif
entah kenapa agak monoton tapi makin dilihat makin menarik jujur,Positif
banyak yang bilang keren tapi terasa monoton jujur,Negatif
kombinasi warnanya lumayan tapi menurut saya terlalu biasa haha,Negatif
awalnya suka tapi kurang cocok,Negatif
kalau menurut saya kurang estetik tapi ternyata kereen menurutku,Positif
outfitnya oke sih,Positif
kalau menurut saya biasa aja tapi jadi pengen coba jujur,Positif
menarik sih tapi ga ada yang spesial,Netral
konsepnya lumayan tapi menurut gue kurang estetik,Negatif
modelnya unik tapi tetap terlihat menarik jujur,Positif
kesan pertama membosankan tapi ternyata bagus juga,Positif
modelnya unik tapi ga ada yang spesial,Netral
waktu pertama lihat membosankan tapi ternyata cocok sih,Positif
warnanya agak monoton imo,Negatif
outfitnya membosankan,Negatif
buat saya pribadi kurang menarik,Negatif
konsepnya kurang cocok,Negatif
outfitnya oke tapi tetap terlihat menarikk,Positif
konsepnya estetik tapi ga buruk juga,Netral
jujur cukup bagus tapi ternyata kurang menarik wkwk,Negatif
ga nyangka ternyata baguss wkwk,Positif
outfitnya lumayan haha,Netral
entah kenapa jadi tertarik haha,Positif
desainnya kurang cocok jujur,Negatif
buat aku pribadi kurang menarik menurutku,Negatif
buat gue pribadi menarik tapi ga buruk juga,Netral
banyak yang suka tapi saya kurang tertarik imo,Negatif
kombinasi warnanya unik tapi menurut saya kurang cocok,Negatif
stylenya cukup bagus tapi tetap terlihat menarik,Positif
kombinasi warnanya agak monoton haha,Negatif
kalau menurut saya menarik tapi masih standar haha,Netral
desainnya agak monoton,Negatif
awalnya kurang yakin tapi jadi pengen coba,Positif
looknya bagus menurutku,Positif
kesan pertama estetik tapi ga sesuai ekspektasi,Negatif
buat saya pribadi kurang menarik,Negatif
awalnya suka tapi ternyata kurang menarik jujur,Negatif
awalnya kurang yakin tapi ternyata baguss juga wkwk,Positif
entah kenapa jadi tertarik sih,Positif
awalnya kurang yakin tapi makin menarik menurutku,Positif
outfitnya estetik,Positif
banyak yang bilang kereen tapi makin membosankan haha,Negatif
modelnya membosankan menurutku,Negatif
awalnya kurang yakin tapi makin menarik,Positif
buat saya pribadi kurang menarikk tapi malah estetik menurutku,Positif
awalnya kurang yakin tapi ternyata bagus juga,Positif
menarik sih tapi belum tentu saya pakai haha,Netral
kombinasi warnanya estetik tapi biasa aja menurut saya,Netral
desainnya krn tapi belum tentu saya pakai,Netral
looknya bgs,Netral
mungkin cocok buat orang lain tapi bukan saya sih,Negatif
biasanya saya kurang suka model begini tapi yang ini menarikk imo,Positif
menarik sih tapi ga ada yang spesial jujur,Netral
kalau menurut saya biasa aja tapi jadi pengen coba,Positif
modelnya estetik tapi menurut saya kurang menarik sih,Negatif
desainnya unik jujur,Positif
modelnya terlihat oke tapi biasa aja menurut saya jujur,Netral
waktu pertama lihat estetik tapi makin membosankan menurutku,Negatif
warnanya cukup baguss tapi menurut saya kurang estetik wkwk,Negatif
belum punya pendapat khusus,Netral
mungkin cocok buat orang lain tapi bukan saya,Negatif
awalnya kurang yakin tapi ternyata cocok imo,Positif
modelnya terlihat oke tapi ga buruk juga jujur,Netral
bukan style yang biasa saya pakai tapi saya suka imo,Positif
jujur terlalu biasa tapi makin dilihat makin menarik imo,Positif
modelnya lumayan bagus tapi biasa aja menurut saya,Netral
banyak yang suka tapi saya kurang tertarik,Negatif
stylenya menarik tapi menurut saya terlalu biasa jujur,Negatif
awalnya kurang yakin tapi makin dilihat makin menarik wkwk,Positif
kesan pertama keren tapi ga ada yang spesial haha,Netral
awalnya suka tapi ga sesuai ekspektasi,Negatif
kombinasi warnanya cukup bagus wkwk,Positif
menarikk sih tapi lumayan aja imo,Netral
modelnya terlihat oke tapi masih standar haha,Netral
looknya bagus tapi tetap terlihat menarik jujur,Positif
looknya kurang estetik wkwk,Negatif
awalnya suka tapi makin membosankan sih,Negatif
gw paham kenapa banyak yang suka tapi kurang cocok buat gue menurutku,Negatif
konsepnya terlihat oke tapi tergantung selera haha,Netral
menarik sih tapi ga buruk juga haha,Netral
looknya lumayan menurutku,Netral
mungkin cocok buat sebagian orang menurutku,Netral
modelnya cukup bagus,Netral
stylenya unik tapi menurut saya membosankan menurutku,Negatif
mungkin cocok buat orang lain tapi bukan saya imo,Negatif
jujur unik tapi lumayan aja menurutku,Netral
mungkin cocok buat sebagian orang menurutku,Netral
pas pertama lihat bagus tapi belum tentu saya pakai haha,Netral
menarik sih tapi biasa aja menurut saya menurutku,Netral
awalnya suka tapi kurang masuk di saya,Negatif
menarikk sih tapi ga buruk juga menurutku,Netral
waktu pertama lihat krn tapi ternyata kurang menarik haha,Negatif
awalnya suka tapi ga sesuai ekspektasi,Negatif
pas pertama lihat keren tapi terasa monoton sih,Negatif
ga jelek tapi juga tidak spesial,Netral
pas pertama lihat terlalu biasa tapi jadi suka,Positif
stylenya lumayan tapi tetap terlihat menarik imo,Positif
banyak yang bilang keren tapi kurang masuk di gw,Negatif
kombinasi warnanya terlihat oke tapi tergantung selera,Netral
kesan pertama estetik tapi ga ada yang spesial,Netral
awalnya suka tapi ga sesuai ekspektasi,Negatif
ga nyangka ternyata bagus,Positif
desainnya menarik jujur,Positif
mungkin cocok buat orang lain tapi bukan saya jujur,Negatif
awalnya kurang cocok tapi ternyata kereen haha,Positif
awalnya membosankan tapi makin dilihat makin menarik,Positif
buat gw pribadi unik tapi kurang masuk di saya jujur,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
modelnya menarik tapi tetap terlihat menarikk haha,Positif
looknya oke tapi menurut saya membosankan,Negatif
sejujurnya menarik tapi makin membosankan sih,Negatif
sejujurnya biasa aja tapi ternyata bagus juga,Positif
outfitnya terlihat oke tapi tergantung selera imo,Netral
banyak yang bilang krn tapi jadi biasa aja jujur,Negatif
konsepnya terlihat oke tapi masih standar,Netral
sejujurnya agak monoton tapi makin menarik menurutku,Positif
banyak yang suka tapi saya kurang tertarik sih,Negatif
mungkin cocok buat orang lain tapi bukan gue jujur,Negatif
setelah beberapa kali lihat unik tapi makin membosankan menurutku,Negatif
banyak yang bilang keren tapi ternyata kurang menarikk,Negatif
buat saya pribadi kurang menarikk haha,Negatif
saya masih netral melihatnya,Netral
waktu pertama lihat keren tapi ga ada yang spesial menurutku,Netral
outfitnya kurang menarik,Negatif
buat aku pribadi kurang menarik,Negatif
outfitnya unik wkwk,Positif
awalnya suka tapi makin membosankan sih,Negatif
awalnya biasa aja tapi ternyata keren,Positif
konsepnya estetik,Positif
awalnya suka tapi ternyata kurang menarikk menurutku,Negatif
banyak yang suka tapi saya kurang tertarik,Negatif
outfitnya menarik tapi tetap terlihat menarikk menurutku,Positif
awalnya kurang yakin tapi jadi suka,Positif
kombinasi warnanya lumayan sih,Netral
awalnya membosankan tapi malah estetik wkwk,Positif
konsepnya terlalu biasa haha,Negatif
gw masih netral melihatnya wkwk,Netral
awalnya suka tapi ternyata kurang menarikk wkwk,Negatif
awalnya kurang estetik tapi ternyata keren haha,Positif
desainnya terlihat oke tapi biasa aja menurut gue jujur,Netral
banyak yang suka tapi aku kurang tertarik haha,Negatif
modelnya bagus tapi ga buruk juga haha,Netral
desainnya kurang cocok jujur,Negatif
belum punya pendapat khusus wkwk,Netral
modelnya oke,Netral
outfitnya lumayan bagus tapi menurut saya membosankan jujur,Negatif
konsepnya keren tapi tetap terlihat menarik haha,Positif
kombinasi warnanya oke tapi tetap terlihat menarikk,Positif
banyak yang bilang krn tapi kurang masuk di saya,Negatif
jujur membosankan tapi ternyata keren haha,Positif
entah kenapa jadi tertarik menurutku,Positif
saya masih belum suka model seperti ini menurutku,Negatif
outfitnya oke sih,Netral
pas pertama lihat kurang menarik tapi jadi pengen coba,Positif
buat saya pribadi kurang menarik jujur,Negatif
ga nyangka ternyata baguss sih,Positif
awalnya kurang yakin tapi makin menarik,Positif
desainnya terlihat oke tapi belum tentu saya pakai,Netral
menarikk sih tapi ga ada yang spesial jujur,Netral
stylenya cukup bgs tapi tetap terlihat menarik sih,Positif
banyak yang bilang kereen tapi jadi biasa aja,Negatif
kombinasi warnanya kurang cocok wkwk,Negatif
saya pribadi suka konsepnya menurutku,Positif
awalnya suka tapi ternyata kurang menarikk sih,Negatif
outfitnya terlihat oke tapi tergantung selera,Netral
outfitnya cukup bgs,Positif
banyak yang suka tapi gw kurang tertarik sih,Negatif
kombinasi warnanya estetik tapi tetap terlihat menarik menurutku,Positif
awalnya cukup bagus tapi tergantung selera wkwk,Netral
buat saya pribadi kurang menarik,Negatif
menarikk sih tapi biasa aja menurut saya haha,Netral
awalnya kurang yakin tapi ternyata cocok imo,Positif
kalau menurut saya biasa aja tapi jadi pengen coba,Positif
saya masih belum suka model seperti ini,Negatif
mungkin cocok buat orang lain tapi bukan aku haha,Negatif
sejujurnya biasa aja tapi malah estetik sih,Positif
buat saya pribadi bagus tapi masih standar jujur,Netral
entah kenapa jadi tertarik,Positif
modelnya lumayan wkwk,Positif
warnanya oke tapi tetap terlihat menarik wkwk,Positif
sulit bilang bagus atau tidak jujur,Netral
stylenya kurang cocok haha,Negatif
makin dilihat makin cocok wkwk,Positif
looknya terlihat oke tapi tergantung selera sih,Netral
setelah beberapa kali lihat biasa aja tapi ternyata cocok menurutku,Positif
modelnya kurang cocok haha,Negatif
stylenya kurang cocok imo,Negatif
konsepnya menarikk sih,Netral
awalnya suka tapi kurang cocok jujur,Negatif
desainnya agak monoton,Negatif
desainnya estetik imo,Positif
stylenya estetik wkwk,Positif
looknya estetik menurutku,Netral
desainnya lumayan tapi menurut saya kurang estetik imo,Negatif
awalnya kurang yakin tapi makin dilihat makin menarikk jujur,Positif
mungkin cocok buat orang lain tapi bukan saya menurutku,Negatif
konsepnya estetik haha,Netral
awalnya kurang yakin tapi ternyata keren,Positif
kesan pertama kurang menarikk tapi ternyata keren,Positif
outfitnya terlihat oke tapi lumayan aja,Netral
banyak yang suka tapi saya kurang tertarik jujur,Negatif
awalnya suka tapi kurang masuk di saya jujur,Negatif
banyak yang bilang krn tapi kurang cocok wkwk,Negatif
warnanya estetik tapi tetap terlihat menarik haha,Positif
jujur biasa aja tapi ternyata keren,Positif
ga nyangka ternyata bagus,Positif
buat saya pribadi biasa aja tapi makin menarik imo,Positif
kesan pertama estetik tapi kurang cocok,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
menarik sih tapi masih standar,Netral
buat gw pribadi kurang menarikk sih,Negatif
awalnya suka tapi terasa monoton haha,Negatif
waktu pertama lihat menarik tapi ga buruk juga jujur,Netral
banyak yang bilang kereen tapi ga sesuai ekspektasi jujur,Negatif
awalnya kurang yakin tapi jadi suka,Positif
kalau menurut saya lumayan tapi kurang masuk di saya haha,Negatif
buat saya pribadi bagus tapi kurang masuk di saya,Negatif
konsepnya kereen tapi menurut gue kurang cocok wkwk,Negatif
looknya menarik sih,Netral
mungkin cocok buat orang lain tapi bukan saya,Negatif
outfitnya cukup bagus haha,Positif
awalnya kurang yakin tapi jadi suka sih,Positif
waktu pertama lihat biasa aja tapi makin menarik imo,Positif
kalau menurut saya cukup bagus tapi kurang cocok wkwk,Negatif
awalnya suka tapi jadi biasa aja imo,Negatif
menarik sih tapi belum tentu saya pakai,Netral
sulit bilang baguss atau gak,Netral
buat saya pribadi kurang menarik haha,Negatif
menarikk sih tapi tergantung selera,Netral
ga nyangka ternyata baguss haha,Positif
sejujurnya unik tapi jadi biasa aja sih,Negatif
awalnya kurang yakin tapi jadi suka menurutku,Positif
banyak yang bilang krn tapi kurang cocok wkwk,Negatif
outfitnya terlihat oke tapi biasa aja menurut saya,Netral
awalnya suka tapi jadi biasa aja,Negatif
modelnya terlihat oke tapi tergantung selera,Netral
stylenya lumayan jujur,Positif
kombinasi warnanya bagus,Netral
modelnya kurang estetik sih,Negatif
kalau menurut gue agak monoton tapi makin dilihat makin menarik menurutku,Positif
makin dilihat makin cocok imo,Positif
konsepnya bagus tapi menurut saya agak monoton jujur,Negatif
awalnya kurang yakin tapi makin dilihat makin menarik menurutku,Positif
stylenya cukup bagus tapi tetap terlihat menarikk haha,Positif
awalnya membosankan tapi jadi pengen coba,Positif
warnanya kurang menarik haha,Negatif
outfitnya agak monoton wkwk,Negatif
awalnya kurang yakin tapi ternyata cocok menurutku,Positif
sejujurnya kurang estetik tapi makin dilihat makin menarik,Positif
modelnya bagus tapi ga buruk juga wkwk,Netral
buat saya pribadi kurang menarik imo,Negatif
modelnya terlalu biasa haha,Negatif
sulit bilang bgs atau tidak menurutku,Netral
bukan style yang biasa saya pakai tapi saya suka sih,Positif
jujur biasa aja tapi ternyata kereen imo,Positif
bukan style yang biasa saya pakai tapi saya suka menurutku,Positif
awalnya suka tapi ternyata kurang menarikk haha,Negatif
konsepnya terlihat oke tapi biasa aja menurut saya menurutku,Netral
buat saya pribadi kurang menarik,Negatif
desainnya kurang estetik imo,Negatif
modelnya unik menurutku,Positif
awalnya kurang yakin tapi ternyata kereen imo,Positif
menarik sih tapi ga buruk juga wkwk,Netral
looknya membosankan,Negatif
stylenya lumayan tapi biasa aja menurut saya wkwk,Netral
banyak yang suka tapi saya kurang tertarik,Negatif
warnanya membosankan wkwk,Negatif
awalnya suka tapi ternyata kurang menarikk haha,Negatif
belum punya pendapat khusus,Netral
awalnya kurang yakin tapi makin dilihat makin menarik sih,Positif
waktu pertama lihat cukup bagus tapi ga sesuai ekspektasi,Negatif
pas pertama lihat lumayan baguss tapi makin membosankan,Negatif
menarik sih tapi belum tentu gue pakai jujur,Netral
waktu pertama lihat biasa aja tapi ternyata keren imo,Positif
kesan pertama kereen tapi kurang cocok imo,Negatif
looknya cukup bgs menurutku,Positif
kesan pertama biasa aja tapi makin dilihat makin menarikk wkwk,Positif
sulit bilang bagus atau ga haha,Netral
waktu pertama lihat kurang menarik tapi malah estetik haha,Positif
desainnya menarik tapi menurut gw kurang cocok jujur,Negatif
sulit bilang bagus atau tidak menurutku,Netral
banyak yang suka tapi saya kurang tertarik haha,Negatif
awalnya kurang yakin tapi jadi suka sih,Positif
makin dilihat makin cocok jujur,Positif
stylenya kurang estetik,Negatif
stylenya estetik jujur,Positif
buat saya pribadi kurang menarik tapi jadi pengen coba sih,Positif
awalnya kurang yakin tapi ternyata baguss juga,Positif
looknya membosankan,Negatif
menarik sih tapi belum tentu gw pakai menurutku,Netral
modelnya bagus tapi menurut saya agak monoton haha,Negatif
awalnya kurang yakin tapi makin menarik haha,Positif
outfitnya lumayan tapi biasa aja menurut saya menurutku,Netral
buat saya pribadi kurang estetik tapi jadi suka menurutku,Positif
awalnya kurang yakin tapi ternyata cocok jujur,Positif
konsepnya bagus tapi lumayan aja sih,Netral
banyak yang bilang keren tapi jadi biasa aja imo,Negatif
desainnya cukup bgs tapi belum tentu saya pakai wkwk,Netral
awalnya lumayan tapi tergantung selera wkwk,Netral
saya masih belum suka model seperti ini,Negatif
pas pertama lihat kurang menarik tapi ternyata bgs juga menurutku,Positif
buat saya pribadi membosankan tapi ternyata bagus juga imo,Positif
waktu pertama lihat lumayan tapi jadi biasa aja haha,Negatif
buat saya pribadi kurang menarik wkwk,Negatif
banyak yang suka tapi aku kurang tertarik imo,Negatif
banyak yang bilang keren tapi jadi biasa aja haha,Negatif
sejujurnya unik tapi makin membosankan sih,Negatif
kesan pertama biasa aja tapi jadi pengen coba haha,Positif
outfitnya estetik tapi menurut aku kurang menarik,Negatif
waktu pertama lihat menarik tapi biasa aja menurut saya jujur,Netral
entah kenapa bagus tapi ga buruk juga,Netral
awalnya suka tapi makin membosankan wkwk,Negatif
sulit bilang bagus atau tidak jujur,Netral
konsepnya estetik tapi tetap terlihat menarik,Positif
awalnya suka tapi jadi biasa aja,Negatif
looknya terlihat oke tapi ga ada yang spesial menurutku,Netral
sejujurnya biasa aja tapi ternyata bagus juga,Positif
looknya unik,Positif
konsepnya keren tapi tetap terlihat menarik jujur,Positif
kalau menurut saya biasa aja tapi ternyata keren sih,Positif
awalnya kurang yakin tapi jadi suka menurutku,Positif
sejujurnya biasa aja tapi jadi suka,Positif
outfitnya terlalu biasa,Negatif
warnanya krn sih,Positif
modelnya terlihat oke tapi masih standar haha,Netral
mungkin cocok buat orang lain tapi bukan saya,Negatif
awalnya suka tapi ternyata kurang menarik jujur,Negatif
jujur biasa aja tapi jadi suka,Positif
banyak yang suka tapi saya kurang tertarik jujur,Negatif
warnanya unik tapi menurut saya terlalu biasa haha,Negatif
tidak jelek tapi juga tidak spesial jujur,Netral
banyak yang suka tapi saya kurang tertarik,Negatif
pas pertama lihat biasa aja tapi makin dilihat makin menarik menurutku,Positif
buat saya pribadi biasa aja tapi jadi suka,Positif
kombinasi warnanya keren tapi tetap terlihat menarikk,Positif
kombinasi warnanya unik menurutku,Positif
looknya estetik tapi tetap terlihat menarikk wkwk,Positif
stylenya bgs tapi menurut saya kurang menarik,Negatif
stylenya cukup bagus tapi menurut saya kurang menarik,Negatif
warnanya terlihat oke tapi biasa aja menurut saya sih,Netral
awalnya bgs tapi kurang masuk di gue,Negatif
kalau menurut saya bgs tapi makin membosankan wkwk,Negatif
gw paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
warnanya bagus tapi ga buruk juga wkwk,Netral
kesan pertama kurang menarik tapi ternyata keren menurutku,Positif
buat saya pribadi kurang menarik sih,Negatif
banyak yang bilang kereen tapi kurang masuk di saya jujur,Negatif
awalnya suka tapi ternyata kurang menarikk haha,Negatif
stylenya terlihat oke tapi lumayan aja sih,Netral
sejujurnya menarik tapi ternyata kurang menarik menurutku,Negatif
desainnya cukup bagus tapi ga buruk juga jujur,Netral
kalau menurut saya estetik tapi ga sesuai ekspektasi,Negatif
warnanya terlihat oke tapi masih standar,Netral
menarik sih tapi ga ada yang spesial wkwk,Netral
sulit bilang bagus atau gak imo,Netral
jujur keren tapi tergantung selera sih,Netral
pas pertama lihat kurang cocok tapi makin dilihat makin menarik sih,Positif
awalnya kurang yakin tapi ternyata cocok imo,Positif
modelnya menarik wkwk,Netral
warnanya menarik haha,Positif
saya pribadi suka konsepnya imo,Positif
buat gue pribadi kurang menarikk,Negatif
kombinasi warnanya cukup bgs tapi menurut saya kurang estetik haha,Negatif
modelnya lumayan tapi menurut saya kurang menarik jujur,Negatif
konsepnya terlihat oke tapi biasa aja menurut saya jujur,Netral
awalnya kurang yakin tapi jadi suka wkwk,Positif
buat saya pribadi biasa aja tapi ternyata keren sih,Positif
awalnya suka tapi kurang masuk di gw menurutku,Negatif
menarik sih tapi ga buruk juga,Netral
gue pribadi suka konsepnya,Positif
biasanya saya kurang suka model begini tapi yang ini menarik haha,Positif
menarik sih tapi masih standar,Netral
awalnya suka tapi jadi biasa aja haha,Negatif
banyak yang suka tapi aku kurang tertarik imo,Negatif
looknya lumayan,Netral
awalnya suka tapi makin membosankan jujur,Negatif
kalau menurut saya bagus tapi biasa aja menurut gw,Netral
sejujurnya biasa aja tapi malah estetik jujur,Positif
awalnya suka tapi ternyata kurang menarik imo,Negatif
kombinasi warnanya terlihat oke tapi masih standar wkwk,Netral
awalnya kurang yakin tapi ternyata keren,Positif
jujur keren tapi terasa monoton,Negatif
pas pertama lihat estetik tapi terasa monoton sih,Negatif
mungkin cocok buat sebagian orang,Netral
menarik sih tapi masih standar imo,Netral
setelah beberapa kali lihat keren tapi ga sesuai ekspektasi menurutku,Negatif
awalnya suka tapi ga sesuai ekspektasi sih,Negatif
awalnya bagus tapi lumayan aja,Netral
waktu pertama lihat terlalu biasa tapi ternyata cocok wkwk,Positif
warnanya cukup baguss wkwk,Netral
banyak yang bilang keren tapi kurang cocok wkwk,Negatif
outfitnya estetik sih,Positif
warnanya keren tapi menurut saya kurang cocok menurutku,Negatif
awalnya kurang yakin tapi makin menarik jujur,Positif
belum punya pendapat khusus imo,Netral
awalnya suka tapi jadi biasa aja menurutku,Negatif
buat saya pribadi bagus tapi kurang masuk di aku,Negatif
kombinasi warnanya keren haha,Positif
buat saya pribadi unik tapi masih standar imo,Netral
kombinasi warnanya agak monoton,Negatif
setelah beberapa kali lihat biasa aja tapi jadi pengen coba,Positif
ga nyangka ternyata bagus jujur,Positif
banyak yang bilang keren tapi kurang cocok menurutku,Negatif
awalnya suka tapi ga sesuai ekspektasi,Negatif
awalnya suka tapi jadi biasa aja menurutku,Negatif
pas pertama lihat menarik tapi jadi biasa aja haha,Negatif
buat saya pribadi kurang menarik tapi ternyata keren menurutku,Positif
konsepnya menarik tapi tetap terlihat menarikk jujur,Positif
modelnya oke tapi menurut saya membosankan sih,Negatif
banyak yang bilang keren tapi terasa monoton wkwk,Negatif
banyak yang bilang keren tapi ga sesuai ekspektasi,Negatif
entah kenapa agak monoton tapi jadi suka sih,Positif
buat gue pribadi biasa aja tapi jadi suka menurutku,Positif
banyak yang bilang kereen tapi kurang cocok menurutku,Negatif
